epoch,train_loss,val_loss,threshold,dice,iou,hd95,failure_rate
19,0.052312932187511076,0.05228621352996145,0.39999999999999997,0.9606539049373376,0.9257903533231057,4.987436649817078,0.0
20,0.05147309324914409,0.05511402604835374,0.5,0.957602697307532,0.9203628180412157,5.409448194907507,0.0
21,0.051434480374859225,0.054175227348293574,0.6499999999999999,0.9592012907031465,0.9230650468788676,5.08607294558632,0.0
22,0.04972718644046014,0.051766845264605114,0.44999999999999996,0.961276338622185,0.9269375789331564,4.768424884871762,0.0
23,0.04954000213934529,0.05135113745927811,0.6,0.961150218964283,0.9266366047719965,4.830018002330769,0.0
24,0.05019307232672168,0.06101456763488906,0.3,0.9547890377952074,0.9153528940911989,5.483547413026058,0.0
25,0.050759006291627884,0.05162051320075989,0.5,0.960580135765241,0.9254736238425392,4.803339821217931,0.0
26,0.05041927507808132,0.0517641364463738,0.5499999999999999,0.960376861286807,0.9250837216720726,5.125607325042374,0.0
27,0.049216289313570145,0.04979207632797105,0.5,0.9614403966211448,0.9270969151995538,4.949076909434938,0.0
28,0.048110440373420715,0.05209190983857427,0.44999999999999996,0.9589541563095187,0.9227193818301055,5.420897210369598,0.0
29,0.04891469497834482,0.049883193735565455,0.44999999999999996,0.9611607790152112,0.9266120743918381,5.246153975343871,0.0
30,0.04697125957858178,0.04879283106752804,0.5499999999999999,0.9617388890233544,0.9277025771705846,4.979728978866661,0.0
31,0.045768613656682354,0.049729389271565845,0.5499999999999999,0.9609153160965673,0.9261892795823166,5.050855870536778,0.0
32,0.0466337098229316,0.05039390229753086,0.6,0.9608971697139347,0.9261607058913308,4.847693924752371,0.0
33,0.04605687601912406,0.04916880652308464,0.6,0.9619685704339332,0.9280676257523156,4.78004164871639,0.0
34,0.04538311617028329,0.049311035977942605,0.3,0.9621044985132413,0.9283238411683349,5.119941605235492,0.0
35,0.04564881733348293,0.05134874050106321,0.44999999999999996,0.9604248265249636,0.9252994447472875,5.295743292377733,0.0
36,0.044988451465483636,0.04845791043979781,0.6,0.9616491080977833,0.9274934338259505,4.717199702296988,0.0
37,0.04553572418949296,0.05490813031792641,0.7,0.9584515661932659,0.9215576513456109,6.6083941711192145,0.0
38,0.044376964530637185,0.048876016799892695,0.6,0.9616522576112353,0.927693514514105,4.726815793276435,0.0
39,0.04691379180838985,0.05062554829886982,0.44999999999999996,0.9609306276909333,0.926107700445375,4.737928813990143,0.0
40,0.04717058375958474,0.05327441596559116,0.5,0.9571858869213657,0.9197443123304289,5.53216057352779,0.0
41,0.0454853022050473,0.04707583731838635,0.6,0.9626409601906893,0.9292438444234717,4.840053722477516,0.0
42,0.04351599286160161,0.04790532695395606,0.44999999999999996,0.9620976910374568,0.9282565457917266,4.820880364710568,0.0
43,0.04285145016206849,0.049843140478645055,0.35,0.9614619208377672,0.9271564858020168,4.815398301002237,0.0
44,0.04295333444831833,0.05105162305491311,0.7,0.9608997461559764,0.9260413638854826,5.0114060415958965,0.0
45,0.04389868904986689,0.048758944762604575,0.5,0.9608364528776716,0.9258927497063487,4.8113276651266,0.0
46,0.04686334452802135,0.05231682636908123,0.5499999999999999,0.9580907905034074,0.9214471813296915,5.364226422602933,0.0
47,0.04864520976139653,0.05298453675849097,0.6499999999999999,0.9591747667839219,0.9232232559287582,5.492402025812663,0.0
48,0.04545744388334213,0.046301014189209254,0.5499999999999999,0.9632390455750264,0.9304164254611538,4.940441757287554,0.0
49,0.04320395930159476,0.04802871495485306,0.5,0.9620796016719623,0.928318045305033,4.7181219758454,0.0
50,0.04318599282733856,0.046561958002192635,0.5,0.9631028040311524,0.9300317150678544,4.858787549126642,0.0
