epoch,train_loss,val_loss,threshold,dice,iou,hd95,failure_rate
1,0.40652729330524323,0.907668479851314,0.7,0.5361292817048615,0.3702711940783365,56.88293525165511,0.0
2,0.26800811483014014,0.2873896615845816,0.39999999999999997,0.8606289267312259,0.7620489733794263,18.871281981955036,0.0
3,0.20009682976430462,0.29879821624074665,0.7,0.846050973138597,0.7382678300845069,20.007583174061484,0.0
4,0.14759086336820357,0.13224611750670842,0.6,0.9470529939949729,0.9024480689735701,6.325710098604365,0.0
5,0.12509047840872117,0.10593665497643608,0.5499999999999999,0.9453127594486711,0.8990079885511058,6.470516445492314,0.0
6,0.09980813461926676,0.0925089812704495,0.44999999999999996,0.9524326179915354,0.9111017592971715,6.278043965712401,0.0
7,0.08547703849692498,0.16409270465373993,0.7,0.8982020261031239,0.8184955000407739,20.37380397141794,0.0
8,0.07850682302828758,0.07172050327062607,0.5,0.9559263478799328,0.9173481107989986,5.585702693667857,0.0
9,0.070738181351654,0.07066642333354269,0.35,0.953819862909915,0.9139286016781176,5.660147408546383,0.0
10,0.06754116329454607,0.07583752806697573,0.35,0.9470511663420004,0.9027770579431318,5.942990108121205,0.0
11,0.06962539315704376,0.07703374805194992,0.5,0.9454885101128104,0.8996610386074071,8.346595174807053,0.0
12,0.06583857332025805,0.07695662868874413,0.7,0.9517342565444686,0.9095714159564706,8.265378901169269,0.0
13,0.061942180798899744,0.05812651238271168,0.44999999999999996,0.9603963091773762,0.9252449344264561,5.816410705839094,0.0
14,0.05792257382023719,0.06085013598203659,0.44999999999999996,0.9558587762479196,0.9169673831884071,5.097635876066578,0.0
15,0.05543713007242449,0.057988556900194714,0.5499999999999999,0.9581280856452072,0.9212810636602643,5.672730295204822,0.0
16,0.05615040371494909,0.05558471754193306,0.6499999999999999,0.9598827712009215,0.9243146077557528,5.3317774809992615,0.0
17,0.05419046191438552,0.056464136711188724,0.39999999999999997,0.9582467778649966,0.9214563799585904,5.327084758704625,0.0
18,0.053237587694198854,0.05864405312708446,0.7,0.9578380916236988,0.9204688154659462,5.5693002270677905,0.0
