method,metric,cases,mean,bootstrap_95_ci_low,bootstrap_95_ci_high,median,standard_deviation
grad_cam,deletion_auc,240,0.12442161788155012,0.1153027452388778,0.13413862567045726,0.110845573246479,0.07501661932390785
grad_cam,insertion_auc,240,0.2668592492584139,0.24136458738784616,0.2932259692057657,0.19700910896062845,0.20462747355425523
grad_cam,faithfulness_gap,240,0.14243763137686377,0.12140654811887847,0.16428392405592604,0.08134840056300165,0.16677755620797238
grad_cam,stability_spearman,240,0.9353603514618061,0.9068839829070775,0.9598347394855319,0.9943167139575559,0.20826392419258224
grad_cam,lung_roi_concentration,240,0.252764893673383,0.22811103248011477,0.27790116015116323,0.24941748380661005,0.20229561107164484
grad_cam,lung_roi_enrichment,240,1.116927984648922,1.0095556325912043,1.2286479637635424,1.1174367108817327,0.8709610730574742
integrated_gradients,deletion_auc,240,0.09689992856001478,0.08935091380650796,0.10447164512957288,0.08218356966972346,0.06024496399931143
integrated_gradients,insertion_auc,240,0.11679977204184978,0.1081823317929714,0.12618626040309508,0.0983789227902889,0.07057001458727778
integrated_gradients,faithfulness_gap,240,0.01989984348183498,0.013747188414466411,0.02644752480885168,0.014892470091581348,0.0497914211160332
integrated_gradients,stability_spearman,240,0.9640845066467132,0.9632851959194118,0.9648680705171455,0.9646853246495224,0.006349553965457552
integrated_gradients,lung_roi_concentration,240,0.1981725936445097,0.1898304947124173,0.2069933626016912,0.1896148547530174,0.06572505660844018
integrated_gradients,lung_roi_enrichment,240,0.8608849084583728,0.8319360853728612,0.8897491297408233,0.8389866989064125,0.23285108789334022
